x to x + 1,nqx,Ix,ndx,nLx,Tx,ex
31-32,0.0014181937632336244,96280.48818941742,136.54438787132042,96212.21599548176,4379055.758356982,45.482276219267256
32-33,0.0014824009163962556,96143.94380154609,142.52387039736203,96072.68186634741,4282843.5423615,44.54616040300842
33-34,0.0015814700207886052,96001.41993114873,151.8233675742494,95925.5082473616,4186770.8604951524,43.611551407238174
34-35,0.0016984360337715476,95849.59656357448,162.7944086260404,95768.19935926146,4090845.352247791,42.6798390281637
35-36,0.0018219345592691823,95686.80215494844,174.33509171205344,95599.63460909242,3995077.1528885295,41.751600669224835
36-37,0.0019461352041136046,95512.46706323639,185.88017458350546,95419.52697594464,3899477.518279437,40.82689556848837
37-38,0.0020747553782199265,95326.58688865288,197.7793488345817,95227.69721423558,3804057.9913034923,39.905530193238306
38-39,0.002215892830816671,95128.8075398183,210.79524263162222,95023.40991850248,3708830.294089257,38.98745700703588
39-40,0.0023794229002566387,94918.01229718668,225.85009210676722,94805.0872511333,3613806.8841707543,38.07293048716598
40-41,0.002571178958833785,94692.16220507992,243.47049502817725,94570.42695756583,3519001.796919621,37.16254561067398
41-42,0.0027824477718420954,94448.69171005175,262.79855180203447,94317.29243415073,3424431.3699620552,36.25705457598846
42-43,0.003013616070845127,94185.89315824972,283.8401212686034,94043.97309761541,3330114.0775279044,35.35682431691439
43-44,0.0032649264688565344,93902.05303698112,306.58329844040975,93748.76138776091,3236070.104430289,34.46218692530438
44-45,0.0035379773007497258,93595.4697385407,331.1386473879649,93429.90041484672,3142321.3430425283,33.57343418245151
45-46,0.003835360338410438,93264.33109115274,357.7023164553867,93085.47993292504,3048891.4426276814,32.69086270128094
46-47,0.004160248035702892,92906.62877469735,386.5146198637125,92713.3714647655,2955805.962694756,31.814801609718455
47-48,0.0045150149798862844,92520.11415483365,417.729701349863,92311.24930415871,2863092.5912299906,30.945623201875506
48-49,0.0049030785729587845,92102.38445348378,451.5852277322886,91876.59183961764,2770781.341925832,30.083709106632437
49-50,0.005326985934554508,91650.7992257515,488.2225183662574,91406.68796656837,2678904.7500862144,29.229475058778448
50-51,0.005788728893794045,91162.57670738525,527.715441818757,90898.71898647587,2587498.062119646,28.383336184375622
51-52,0.0062897954455507655,90634.86126556649,570.0747375962856,90349.82389676834,2496599.34313317,27.545685051781117
52-53,0.006832552223453629,90064.78652797021,615.3723574465594,89757.10034924693,2406249.5192364017,26.716873619515273
53-54,0.007418816184704823,89449.41417052365,663.6087615606458,89117.60978974334,2316492.4188871547,25.89723410005865
54-55,0.008052117280945478,88785.805408963,714.9137180361735,88428.34854994492,2227374.809097411,25.087059793372735
55-56,0.008737457733869492,88070.89169092683,769.515693733671,87686.13384406,2138946.4605474663,24.286644764013705
56-57,0.00948074472644404,87301.37599719316,827.6820600966973,86887.5349671448,2051260.3267034064,23.496311521703355
57-58,0.010287634669556615,86473.69393709645,889.6097717519011,86028.8890512205,1964372.7917362617,22.716420477714358
58-59,0.011165680716255622,85584.08416534455,955.6045581833857,85106.28188625287,1878343.902685041,21.94735062019436
59-60,0.012121753772476486,84628.47960716116,1025.8455919370551,84115.55681119264,1793237.6207987883,21.18952897562213
60-61,0.013157874797014836,83602.6340152241,1100.0329910729724,83052.61751968761,1709122.0639875957,20.443399710066114
61-62,0.014282441443410985,82502.60102415112,1178.3385680565375,81913.43174012286,1626069.446467908,19.709311297857216
62-63,0.015513373977934609,81324.26245609458,1261.6136969611023,80693.45560761403,1544156.0147277853,18.98764240944018
63-64,0.016866000703574413,80062.64875913349,1350.3366903015765,79387.4804139827,1463462.5591201712,18.278967556056788
64-65,0.018347898772516195,78712.31206883192,1444.2055339896328,77990.2093018371,1384075.0787061886,17.583971837796483
65-66,0.019969450653890393,77268.10653484229,1543.0016405670788,76496.60571455874,1306084.8694043516,16.90328555955234
66-67,0.021725674609895215,75725.10489427521,1645.1789887332068,74902.5153999086,1229588.2636897927,16.23752473379207
67-68,0.0236049130986904,74079.925905542,1748.6502133577426,73205.60079886313,1154685.748289884,15.58702623113046
68-69,0.02559493282150926,72331.27569218425,1851.3141422355218,71405.61862106649,1081480.1474910208,14.951763772194607
