x to x + n,nqx,Ix,ndx,nLx,Tx,ex
66-67,0.026465127927227095,71372.61801614102,1888.8854662982853,70428.17528299187,1061426.6308822986,14.871622484721739
67-68,0.028708631019427912,69483.73254984272,1994.7828396260477,68486.3411300297,990998.4555993067,14.262308877670531
68-69,0.031008856882103617,67488.94971021668,2092.7551826875974,66442.57211887288,922512.114469277,13.669083878625308
69-70,0.03337821229619416,65396.19452752908,2182.808064303076,64304.79049537754,856069.5423504041,13.090510060031619
70-71,0.03585630881639417,63213.386463226,2266.5987063555026,62080.08711004825,791764.7518550266,12.5252702972278
71-72,0.038538442053649535,60946.7877568705,2348.794248324231,59772.39063270838,729684.6647449783,11.972487666714171
72-73,0.041501242712930216,58597.99350854627,2431.889551088888,57382.04873300183,669912.27411227,11.432341518904842
73-74,0.044850743267876386,56166.10395745738,2519.091508952777,54906.558202980996,612530.2253792682,10.905691907048153
74-75,0.04861394060023746,53647.0124485046,2607.992676551802,52343.0161102287,557623.6671762872,10.394309798920233
75-76,0.05275792542973237,51039.0197719528,2692.712799135322,49692.66337238514,505280.65106605843,9.899889404688814
76-77,0.05718886753180135,48346.30697281748,2764.8705451202627,46963.87170025735,455587.9876936733,9.423428928083913
77-78,0.06186672273368462,45581.43642769722,2819.9740892754157,44171.44938305951,408624.11599341594,8.964704669665007
78-79,0.0666545624996989,42761.46233842181,2850.2465640148566,41336.33905641438,364452.6666103564,8.522923367915094
79-80,0.07151617910368321,39911.21577440695,2854.297655568234,38484.06694662283,323116.32755394204,8.095877844972597
80-81,0.0776204535687631,37056.918118838716,2876.3747922447765,35618.730722716326,284632.2606073192,7.680947986406349
81-82,0.08375433319865834,34180.543326593935,2862.7686146867263,32749.159019250572,249013.52988460287,7.285242001722647
82-83,0.0903235534334499,31317.77471190721,2828.732697607697,29903.40836310336,216264.3708653523,6.905483319130183
83-84,0.09735110575432893,28489.04201429951,2773.4397419735915,27102.322143312715,186360.96250224893,6.541496285087745
84-85,0.10485994494174036,25715.60227232592,2696.536638419789,24367.333953116024,159258.64035893622,6.193074487324913
85-86,0.11287276138290721,23019.06563390613,2598.2255025533664,21719.952882629448,134891.30640582019,5.8599818320658015
86-87,0.12141172164186942,20420.840131352765,2479.329357720918,19181.175452492305,113171.35352319074,5.5419538469152
87-88,0.13049817704069483,17941.510773631846,2341.3344493149425,16770.843548974375,93990.17807069844,5.238699196325945
88-89,0.14015234086664147,15600.176324316904,2186.401229785373,14506.975709424218,77219.33452172407,4.9499013931886005
89-90,0.15039293586078395,13413.775094531531,2017.3370174428617,12405.106585810101,62712.358812299855,4.675220686968738
90-91,0.16123681485309577,11396.43807708867,1837.5253762203165,10477.67538897851,50307.252226489756,4.414296106046253
91-92,0.17269855876972748,9558.912700868354,1650.8104468456079,8733.50747744555,39829.576837511246,4.166747629559692
92-93,0.18479005771901236,7908.102254022746,1461.3386719687148,7177.432918038388,31096.069360065696,3.9321784621901594
93-94,0.19752008241698132,6446.763582054031,1273.3652740501059,5810.080945028978,23918.63644202731,3.710177383983808
94-95,0.21089385477819322,5173.398308003925,1091.0379114779303,4627.87935226496,18108.55549699833,3.500321146543467
95-96,0.22491262799517112,4082.360396525995,918.1744052060703,3623.2731939229598,13480.67614473337,3.3021768867357104
96-97,0.2395732877677587,3164.1859913199246,758.0544410491992,2785.158770795325,9857.40295081041,3.1153045294592316
97-98,0.25486798742050354,2406.1315502707253,613.2459056864759,2099.5085974274875,7072.2441800150855,2.9392591519858313
98-99,0.27078383035578024,1792.8856445842493,485.4844422304151,1550.1434234690419,4972.735582587598,2.773593283882153
99-100,0.28730261352995634,1307.4012023538342,375.61978236846386,1119.5913111696022,3422.5921591185565,2.617859118499012
100-101,0.30440064531853905,931.7814199853702,283.6348655393714,789.9639872156846,2303.0008479489543,2.471610614413317
101-102,0.3220486501842301,648.1465544459988,208.73472298089354,543.779192955552,1513.0368607332698,2.3344054679524344
102-103,0.34021177094010097,439.4118314651053,149.49307735477666,364.66529278771696,969.2576677777178,2.205806940941891
103-104,0.3588496771082786,289.9187541103287,104.03725130012586,237.90012846026573,604.5923749900007,2.08538553100957
104-105,0.3779167849567982,185.88150281020282,70.24773992496989,150.75763284771787,366.69224652973503,1.9727204750660523
105-106,0.3973625913450282,115.63376288523293,45.9485316670527,92.65949705170658,215.93461368201716,1.867401079876068
106-107,0.4171321196585388,69.68523121818022,29.067948206934897,55.15125711471277,123.27511663031058,1.7690278768587806
107-108,0.4371664720448405,40.61728301124533,17.756514318072956,31.73902585220885,68.12385951559781,1.6772136013316548
108-109,0.4574034780795887,22.86076869317237,10.456595111830016,17.63247113725736,36.38483366338896,1.5915839992841407
109-110,0.47777842612268373,12.404173581342356,5.926446531046324,9.440950315819194,18.7523625261316,1.5117784673972818
